1,0
2,974
3,976
4,975
5,974
6,975
7,974
8,546
9,489
10,520
11,521
12,512
13,533
14,510
15,516
16,516
17,510
18,506
19,504
20,510
21,472
22,416
23,974
24,623
25,493
26,550
27,521
28,498
29,501
30,504
31,508
32,518
33,509
34,506
35,483
36,506
37,505
38,509
39,447
40,487
41,523
42,504
43,509
44,504
45,504
46,508
47,507
48,496
49,511
50,503
51,524
52,504
53,509
54,508
55,510
56,500
57,506
58,506
59,490
60,558
61,506
62,430
63,507
64,479
65,506
66,502
67,507
68,509
69,467
70,546
71,483
72,0
73,0
74,0
75,0
76,0
77,1
78,751
79,474
80,711
81,581
82,2
83,910
84,847
85,465
86,685
87,507
88,0
89,540
90,700
91,449
92,747
93,746
94,654
95,879
96,703
97,710
98,0
99,508
100,0
101,691
102,560
103,1
104,0
105,708
106,605
107,499
108,744
109,970
110,978
111,974
112,978
113,979
114,957
115,495
116,665
117,572
118,0
119,0
120,0
121,0
122,1
123,702
124,873
125,42
126,502
127,498
128,758
129,970
130,774
131,968
132,0
133,968
134,0
135,976
136,1023
137,975
138,987
139,976
140,525
141,366
142,506
143,485
144,507
145,790
146,0
147,0
148,0
149,0
150,3
151,635
152,631
153,3
154,184
155,308
156,656
157,552
158,554
159,624
160,676
161,630
162,651
163,570
164,558
165,581
166,615
167,642
168,1
169,73
170,287
171,606
172,620
173,633
174,648
175,362
176,92
177,370
178,734
179,628
180,474
181,617
182,620
183,17
184,330
185,116
186,161
187,187
188,49
189,620
190,693
191,587
192,644
193,615
194,95
195,644
196,706
197,627
198,69
199,650
200,564
201,552
202,604
203,233
204,1
205,983
206,981
207,0
208,984
209,0
210,971
211,969
212,976
213,975
214,0
215,0
216,0
217,0
218,0
219,6
220,0
221,157
222,683
223,0
224,50
225,428
226,558
227,961
228,976
229,919
230,960
231,417
232,1
233,0
234,462
235,618
236,413
237,621
238,9
239,693
240,17
241,0
242,779
243,4
244,0
245,392
246,581
247,814
248,980
